127.0.0.1 - - [09/Nov/2021:19:24:24 +0900] "GET / HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:46 +0900] "GET /resources/admin/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 80300
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:46 +0900] "GET /resources/admin/vender/jquery/jquery.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:46 +0900] "GET /resources/js/blockUI.js HTTP/1.1" 200 24236
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:46 +0900] "GET /admin/boardadmin/js/sb-admin-2.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:46 +0900] "GET /resources/admin/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 315680
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:47 +0900] "GET /admin/boardadmin/vendor/chart.js/Chart.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:47 +0900] "GET /admin/boardadmin/js/demo/chart-area-demo.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:47 +0900] "GET /admin/boardadmin/js/demo/chart-pie-demo.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:47 +0900] "GET /admin/boardadmin/list HTTP/1.1" 200 10894
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:47 +0900] "GET /resources/admin/css/sb-admin-2.min.css HTTP/1.1" 200 169740
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:47 +0900] "GET /resources/admin/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 59344
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:47 +0900] "GET /resources/admin/vendor/boostrap/js/bootstrap.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:47 +0900] "GET /resources/admin/vendor/jquery/jquery.js HTTP/1.1" 200 287630
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:47 +0900] "GET /resources/js/blockUI.js HTTP/1.1" 200 24236
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:47 +0900] "GET /resources/admin/vender/jquery/jquery.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:47 +0900] "GET /resources/admin/vendor/jquery/jquery.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:47 +0900] "GET /resources/admin/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:47 +0900] "GET /resources/admin/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 84152
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:47 +0900] "GET /admin/boardadmin/js/demo/chart-area-demo.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:47 +0900] "GET /admin/boardadmin/vendor/chart.js/Chart.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:47 +0900] "GET /admin/boardadmin/js/sb-admin-2.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:47 +0900] "GET /admin/boardadmin/js/demo/chart-pie-demo.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:47 +0900] "GET /resources/admin/img/undraw_rocket.svg HTTP/1.1" 200 3147
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:47 +0900] "GET /resources/admin/vender/jquery/jquery.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:47 +0900] "GET /resources/admin/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 80300
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:47 +0900] "GET /resources/js/blockUI.js HTTP/1.1" 200 24236
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:47 +0900] "GET /admin/boardadmin/js/sb-admin-2.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:47 +0900] "GET /admin/boardadmin/vendor/chart.js/Chart.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:47 +0900] "GET /admin/boardadmin/js/demo/chart-area-demo.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:47 +0900] "GET /resources/admin/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 315680
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:47 +0900] "GET /admin/boardadmin/js/demo/chart-pie-demo.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:48 +0900] "GET /admin/boardadmin/list HTTP/1.1" 200 10894
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:48 +0900] "GET /resources/admin/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 59344
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:48 +0900] "GET /resources/admin/css/sb-admin-2.min.css HTTP/1.1" 200 169740
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:48 +0900] "GET /resources/admin/vendor/boostrap/js/bootstrap.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:48 +0900] "GET /resources/js/blockUI.js HTTP/1.1" 200 24236
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:48 +0900] "GET /resources/admin/vendor/jquery/jquery.js HTTP/1.1" 200 287630
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:48 +0900] "GET /resources/admin/vender/jquery/jquery.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:48 +0900] "GET /resources/admin/vendor/jquery/jquery.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:48 +0900] "GET /resources/admin/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 84152
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:48 +0900] "GET /resources/admin/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:48 +0900] "GET /admin/boardadmin/js/sb-admin-2.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:48 +0900] "GET /admin/boardadmin/vendor/chart.js/Chart.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:48 +0900] "GET /admin/boardadmin/js/demo/chart-area-demo.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:48 +0900] "GET /admin/boardadmin/js/demo/chart-pie-demo.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:48 +0900] "GET /resources/admin/img/undraw_rocket.svg HTTP/1.1" 200 3147
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:48 +0900] "GET /resources/admin/vender/jquery/jquery.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:48 +0900] "GET /resources/admin/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 80300
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:48 +0900] "GET /resources/js/blockUI.js HTTP/1.1" 200 24236
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:48 +0900] "GET /admin/boardadmin/js/sb-admin-2.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:48 +0900] "GET /resources/admin/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 315680
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:48 +0900] "GET /admin/boardadmin/vendor/chart.js/Chart.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:48 +0900] "GET /admin/boardadmin/js/demo/chart-area-demo.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:48 +0900] "GET /admin/boardadmin/js/demo/chart-pie-demo.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:48 +0900] "GET /admin/boardadmin/list HTTP/1.1" 200 10894
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:48 +0900] "GET /resources/admin/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 59344
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:48 +0900] "GET /resources/admin/vendor/boostrap/js/bootstrap.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:48 +0900] "GET /resources/admin/css/sb-admin-2.min.css HTTP/1.1" 200 169740
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:48 +0900] "GET /resources/admin/vendor/jquery/jquery.js HTTP/1.1" 200 287630
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:48 +0900] "GET /resources/js/blockUI.js HTTP/1.1" 200 24236
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:48 +0900] "GET /resources/admin/vender/jquery/jquery.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:48 +0900] "GET /resources/admin/vendor/jquery/jquery.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:48 +0900] "GET /admin/boardadmin/js/sb-admin-2.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:48 +0900] "GET /resources/admin/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:48 +0900] "GET /resources/admin/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 84152
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:48 +0900] "GET /admin/boardadmin/vendor/chart.js/Chart.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:48 +0900] "GET /admin/boardadmin/js/demo/chart-area-demo.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:48 +0900] "GET /admin/boardadmin/js/demo/chart-pie-demo.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:48 +0900] "GET /resources/admin/img/undraw_rocket.svg HTTP/1.1" 200 3147
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:48 +0900] "GET /resources/admin/vender/jquery/jquery.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:48 +0900] "GET /resources/admin/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 80300
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:48 +0900] "GET /resources/js/blockUI.js HTTP/1.1" 200 24236
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:48 +0900] "GET /admin/boardadmin/js/sb-admin-2.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:48 +0900] "GET /resources/admin/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 315680
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:48 +0900] "GET /admin/boardadmin/vendor/chart.js/Chart.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:48 +0900] "GET /admin/boardadmin/js/demo/chart-area-demo.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:48 +0900] "GET /admin/boardadmin/js/demo/chart-pie-demo.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:49 +0900] "GET /admin/boardadmin/list HTTP/1.1" 200 10894
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:49 +0900] "GET /resources/admin/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 59344
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:49 +0900] "GET /resources/admin/vendor/boostrap/js/bootstrap.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:49 +0900] "GET /resources/admin/css/sb-admin-2.min.css HTTP/1.1" 200 169740
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:49 +0900] "GET /resources/admin/vendor/jquery/jquery.js HTTP/1.1" 200 287630
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:49 +0900] "GET /resources/js/blockUI.js HTTP/1.1" 200 24236
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:49 +0900] "GET /resources/admin/vender/jquery/jquery.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:49 +0900] "GET /resources/admin/vendor/jquery/jquery.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:49 +0900] "GET /admin/boardadmin/js/sb-admin-2.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:49 +0900] "GET /resources/admin/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:49 +0900] "GET /resources/admin/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 84152
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:49 +0900] "GET /admin/boardadmin/js/demo/chart-area-demo.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:49 +0900] "GET /admin/boardadmin/vendor/chart.js/Chart.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:49 +0900] "GET /admin/boardadmin/js/demo/chart-pie-demo.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:49 +0900] "GET /resources/admin/img/undraw_rocket.svg HTTP/1.1" 200 3147
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:49 +0900] "GET /resources/admin/vender/jquery/jquery.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:49 +0900] "GET /resources/admin/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 80300
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:49 +0900] "GET /resources/js/blockUI.js HTTP/1.1" 200 24236
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:49 +0900] "GET /admin/boardadmin/js/sb-admin-2.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:49 +0900] "GET /resources/admin/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 315680
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:49 +0900] "GET /admin/boardadmin/vendor/chart.js/Chart.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:49 +0900] "GET /admin/boardadmin/js/demo/chart-area-demo.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:49 +0900] "GET /admin/boardadmin/js/demo/chart-pie-demo.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:49 +0900] "GET /admin/boardadmin/list HTTP/1.1" 200 10894
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:49 +0900] "GET /resources/admin/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 59344
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:49 +0900] "GET /resources/admin/vendor/boostrap/js/bootstrap.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:49 +0900] "GET /resources/admin/css/sb-admin-2.min.css HTTP/1.1" 200 169740
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:49 +0900] "GET /resources/admin/vendor/jquery/jquery.js HTTP/1.1" 200 287630
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:49 +0900] "GET /resources/js/blockUI.js HTTP/1.1" 200 24236
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:49 +0900] "GET /resources/admin/vender/jquery/jquery.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:49 +0900] "GET /resources/admin/vendor/jquery/jquery.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:49 +0900] "GET /admin/boardadmin/js/sb-admin-2.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:49 +0900] "GET /admin/boardadmin/vendor/chart.js/Chart.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:49 +0900] "GET /resources/admin/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 84152
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:49 +0900] "GET /resources/admin/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:49 +0900] "GET /admin/boardadmin/js/demo/chart-area-demo.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:49 +0900] "GET /admin/boardadmin/js/demo/chart-pie-demo.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:49 +0900] "GET /resources/admin/img/undraw_rocket.svg HTTP/1.1" 200 3147
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:49 +0900] "GET /resources/admin/vender/jquery/jquery.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:49 +0900] "GET /resources/admin/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 80300
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:49 +0900] "GET /resources/js/blockUI.js HTTP/1.1" 200 24236
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:49 +0900] "GET /admin/boardadmin/js/sb-admin-2.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:49 +0900] "GET /admin/boardadmin/vendor/chart.js/Chart.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:49 +0900] "GET /resources/admin/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 315680
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:49 +0900] "GET /admin/boardadmin/js/demo/chart-area-demo.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:49 +0900] "GET /admin/boardadmin/js/demo/chart-pie-demo.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:53 +0900] "GET /admin/boardadmin/list HTTP/1.1" 200 10894
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:53 +0900] "GET /resources/admin/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 59344
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:53 +0900] "GET /resources/admin/css/sb-admin-2.min.css HTTP/1.1" 200 169740
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:53 +0900] "GET /resources/admin/vendor/boostrap/js/bootstrap.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:53 +0900] "GET /resources/admin/vendor/jquery/jquery.js HTTP/1.1" 200 287630
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:53 +0900] "GET /resources/js/blockUI.js HTTP/1.1" 200 24236
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:53 +0900] "GET /resources/admin/vender/jquery/jquery.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:53 +0900] "GET /resources/admin/vendor/jquery/jquery.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:53 +0900] "GET /admin/boardadmin/js/sb-admin-2.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:53 +0900] "GET /admin/boardadmin/vendor/chart.js/Chart.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:53 +0900] "GET /resources/admin/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:53 +0900] "GET /resources/admin/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 84152
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:53 +0900] "GET /admin/boardadmin/js/demo/chart-area-demo.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:53 +0900] "GET /admin/boardadmin/js/demo/chart-pie-demo.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:53 +0900] "GET /resources/admin/img/undraw_rocket.svg HTTP/1.1" 200 3147
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:53 +0900] "GET /resources/admin/vender/jquery/jquery.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:53 +0900] "GET /resources/admin/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 80300
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:53 +0900] "GET /resources/js/blockUI.js HTTP/1.1" 200 24236
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:53 +0900] "GET /admin/boardadmin/js/sb-admin-2.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:53 +0900] "GET /resources/admin/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 315680
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:53 +0900] "GET /admin/boardadmin/vendor/chart.js/Chart.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:53 +0900] "GET /admin/boardadmin/js/demo/chart-area-demo.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:32:53 +0900] "GET /admin/boardadmin/js/demo/chart-pie-demo.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:33:08 +0900] "GET /admin/boardadmin/list HTTP/1.1" 200 10780
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:33:08 +0900] "GET /resources/admin/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 59344
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:33:08 +0900] "GET /resources/admin/css/sb-admin-2.min.css HTTP/1.1" 200 169740
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:33:08 +0900] "GET /resources/admin/vendor/boostrap/js/bootstrap.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:33:08 +0900] "GET /resources/js/blockUI.js HTTP/1.1" 200 24236
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:33:08 +0900] "GET /resources/admin/vendor/jquery/jquery.js HTTP/1.1" 200 287630
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:33:08 +0900] "GET /resources/admin/vendor/jquery/jquery.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:33:08 +0900] "GET /resources/admin/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 84152
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:33:08 +0900] "GET /admin/boardadmin/js/sb-admin-2.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:33:08 +0900] "GET /admin/boardadmin/vendor/chart.js/Chart.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:33:08 +0900] "GET /resources/admin/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:33:08 +0900] "GET /admin/boardadmin/js/demo/chart-area-demo.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:33:08 +0900] "GET /admin/boardadmin/js/demo/chart-pie-demo.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:33:08 +0900] "GET /resources/admin/img/undraw_rocket.svg HTTP/1.1" 200 3147
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:33:08 +0900] "GET /resources/admin/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 80300
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:33:08 +0900] "GET /resources/admin/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 315680
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:33:08 +0900] "GET /admin/boardadmin/js/sb-admin-2.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:33:08 +0900] "GET /admin/boardadmin/vendor/chart.js/Chart.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:33:08 +0900] "GET /admin/boardadmin/js/demo/chart-area-demo.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:33:08 +0900] "GET /admin/boardadmin/js/demo/chart-pie-demo.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:33:08 +0900] "GET /admin/boardadmin/list HTTP/1.1" 200 10780
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:33:08 +0900] "GET /resources/admin/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 59344
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:33:08 +0900] "GET /resources/admin/vendor/boostrap/js/bootstrap.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:33:08 +0900] "GET /resources/admin/css/sb-admin-2.min.css HTTP/1.1" 200 169740
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:33:08 +0900] "GET /resources/admin/vendor/jquery/jquery.js HTTP/1.1" 200 287630
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:33:08 +0900] "GET /resources/js/blockUI.js HTTP/1.1" 200 24236
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:33:08 +0900] "GET /resources/admin/vendor/jquery/jquery.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:33:08 +0900] "GET /resources/admin/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 84152
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:33:08 +0900] "GET /admin/boardadmin/vendor/chart.js/Chart.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:33:08 +0900] "GET /admin/boardadmin/js/sb-admin-2.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:33:08 +0900] "GET /resources/admin/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
